"group","no","id","o1","o1_hat","o2","o2_hat","theta1","theta2","psi1","psi2","int1","int2","lin1","lin2","sec1"
1,1,"mgamma_pos",2,2.39510618228379,1,1.89732139491879,0.884929051188035,0.92911116213521,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
2,1,"mgamma_pos",3,4.42453415232907,2,2.80573725226591,0.793608874533901,0.94772491695628,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
3,1,"mgamma_pos",19,11.511143711649,7,5.21340835071864,1.49324014119373,1.32476891394446,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
4,1,"mgamma_pos",3,3.51232451787349,1,0.733782924313297,0.935833930734582,1.23441334547841,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
5,1,"mgamma_pos",5,21.0862868796553,5,4.90452386898559,0.300169262168356,0.9169882374225,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
6,1,"mgamma_pos",1,15.573157272261,0,0.0542136687983837,0.126181905618164,0.4907678046718,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
7,1,"mgamma_pos",0,0.391843582617679,0,8.14259134463112e-15,0.748825857521852,1.02155025697508,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
8,1,"mgamma_pos",12,8.47560786963239,7,3.10275160995754,1.30507677433611,1.73917662142186,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
9,1,"mgamma_pos",31,19.0771925245433,14,9.15912288343788,1.5235959120894,1.46344883027421,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
10,1,"mgamma_pos",237,91.576542967446,190,120.923681610127,2.51786368498121,1.56332308843546,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
11,1,"mgamma_pos",47,81.6209975818597,14,20.4549374947748,0.587173789117634,0.737132051703751,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
12,1,"mgamma_pos",0,6.66426054328656,0,8.14259134463112e-15,0.148681283950612,0.517008379536528,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
13,1,"mgamma_pos",5,2.80049606924652,2,5.59372080609782,1.29963223043832,0.705410353011526,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
14,1,"mgamma_pos",1,1.72008647937054,1,0.257073152523776,0.863354851684721,1.35165761164118,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
15,1,"mgamma_pos",0,0.968513642727676,0,8.14259134463112e-15,0.609310132470088,0.943545361948601,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
16,1,"mgamma_pos",5,9.22225242735364,3,3.74696651611216,0.645673560860408,0.936487575494591,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
17,1,"mgamma_pos",1,0.882222429590062,1,0.415195048581647,1.02649789760123,1.33377099058683,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
18,1,"mgamma_pos",1,0.501308542555205,1,0.145536685089067,1.13221170230384,1.45782276523302,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
19,1,"mgamma_pos",3,0.873378467861164,1,1.51962266481871,1.44086499108052,1.09148414138179,NA,NA,-4.30859508121829,-0.0375864267693433,-0.0240303055642581,-0.0432667035144401,0.00067505195916871
