"group","no","id","o1","o1_hat","o2","o2_hat","theta1","theta2","psi1","psi2","int1","int2","lin1","lin2","sec1"
1,1,"mgamma_neg",2,2.64523523712005,2,0.796753109153483,0.925188996032086,1.49173613996029,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
2,1,"mgamma_neg",9,4.58614141549708,8,5.73844450704911,1.47441543779675,1.34365004134842,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
3,1,"mgamma_neg",13,14.0872107532501,1,2.69816740455871,0.958817639547048,0.868503508831489,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
4,1,"mgamma_neg",5,3.9242620682422,1,1.46258103612782,1.14608285069367,1.08759535485055,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
5,1,"mgamma_neg",25,21.2029912444803,21,25.746126558044,1.1552062364463,0.868470425563158,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
6,1,"mgamma_neg",13,16.9593753667345,2,4.0134347635888,0.832790703238149,0.849806306989549,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
7,1,"mgamma_neg",0,0.397271282701974,0,6.42531854451791e-15,0.82247399269429,1.25740275841345,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
8,1,"mgamma_neg",3,10.1228063412522,1,0.506833147340799,0.451292328495136,1.34964586103781,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
9,1,"mgamma_neg",3,23.2224963642987,1,1.57697626696285,0.157234503732836,1.06440801889386,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
10,1,"mgamma_neg",5,102.797857710849,4,3.21234716069119,0.055819206226328,1.25376159126449,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
11,1,"mgamma_neg",106,90.7106888700428,24,36.1658205227103,1.16262224055222,0.715574944197487,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
12,1,"mgamma_neg",9,7.19403581245504,3,2.16939442270331,1.16831528355944,1.30675979595424,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
13,1,"mgamma_neg",4,3.13489936697963,2,2.76574260819919,1.13292963606843,1.02094952128304,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
14,1,"mgamma_neg",3,1.78466969349276,2,0.852181802607084,1.20662127852453,1.47262657654337,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
15,1,"mgamma_neg",2,1.04073667571979,1,0.729517545763613,1.18485058258929,1.2776397075252,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
16,1,"mgamma_neg",3,9.87799718546994,2,1.26334690530172,0.463712938340597,1.34567296112807,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
17,1,"mgamma_neg",1,0.918289262233335,0,0.482583654923273,1.01736675073547,1.10334493437869,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
18,1,"mgamma_neg",0,0.555336401570604,0,6.42531854451791e-15,0.783716027288074,1.25745187922433,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
19,1,"mgamma_neg",1,1.02961002664896,0,0.0369863512762322,0.995857835914285,1.24384181387562,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
20,1,"mgamma_neg",4,3.3403393534894,0,1.27906234881049,1.10536208127939,0.916981811954533,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
21,1,"mgamma_neg",306,271.926291699537,90,92.8776821035572,1.12409452358692,0.979578939534506,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
22,1,"mgamma_neg",181,139.113023627999,39,59.2346788332618,1.29220976720668,0.691514322962838,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
23,1,"mgamma_neg",0,0.814645048723083,0,6.42531854451791e-15,0.722954426568713,1.2575365513774,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
24,1,"mgamma_neg",5,4.10038575530721,1,1.2668372757163,1.12430464930445,1.13265875541537,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
25,1,"mgamma_neg",30,58.2474821213306,25,14.8343094779124,0.553034311061564,1.60447749395188,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
26,1,"mgamma_neg",1,1.02782208532681,0,0.176082054314954,0.996214491244403,1.19636174237213,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
27,1,"mgamma_neg",9,8.71068707294948,6,7.72250799050023,1.04118251767178,0.926497009639238,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
28,1,"mgamma_neg",187,181.460051700977,123,108.736775061003,1.03143740506979,1.13523879946066,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
29,1,"mgamma_neg",0,1.17214041231721,0,6.42531854451791e-15,0.644889159653418,1.25765964588972,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
30,1,"mgamma_neg",0,2.06249867579418,0,6.42531854451791e-15,0.479472925127471,1.25797685124079,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
31,1,"mgamma_neg",0,1.50778869166713,0,6.42531854451791e-15,0.577645214481438,1.25777911187203,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
32,1,"mgamma_neg",0,0.86186545114628,0,6.42531854451791e-15,0.712264146718629,1.25755244259265,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
33,1,"mgamma_neg",61,39.8346600382346,13,23.9676612994623,1.47527436459146,0.632317607742509,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
34,1,"mgamma_neg",6,3.00622599403769,4,2.12787738411346,1.39388601340619,1.49465453035995,NA,NA,-4.39593295468702,-0.0168708405665513,-0.0226040169403582,-0.0505221826489205,0.000719922304369709
